SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Grenville_Hill,Lava_shield,-37.6781,143.8772,,,K-Rich Hawaiite,,34,10800,518,FALSE,12.35275639,21.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Happy_Valley,Magmatic_Volcanic_Complex,-37.7104,143.5616,,5.1 ± 0.08,Tholeiite to mildly alkalic olivine basalt,,30,10800,518,FALSE,4.744674289,8.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Hardie_Hill,Maar,-37.7414,143.8799,,,Tholeiite to mildly alkalic olivine basalt,,68,10800,518,FALSE,10.75796709,19,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Hayes_Hill,Lava_shield,-37.5391,145.0047,,,Olivine basalt to trachyandesite,,30,10800,518,FALSE,13.1159085,23.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Heaghney_Hill,Lava_shield,-37.23,144.0085,,,Transitional Basalt,,40,10800,518,FALSE,11.19970602,19.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Hepburn_Lagoon,Maar,-37.3718,143.9969,,,,,16,10800,518,FALSE,5.313224638,9.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Holcombe_Hill,Scoria_cone,-37.2787,144.1992,,,K Rich Nepheline Hawaiite,,60,10800,518,FALSE,9.703722541,17.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Hopwoods_Hill,Scoria_cone,-37.6098,144.0983,,,Olivine basalt,,60,10800,518,FALSE,9.59234969,16.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Kangaroo_Hill_Denver,Scoria_cone,-37.2699,144.309,,2.62 +- 0.03,Transitional Basalt,,60,10800,518,FALSE,17.9004566,32.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Kangaroo_Hills_Kingston,Scoria_cone,-37.3538,144.0073,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,105,10800,518,FALSE,17.4322886,31.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Kelly_Hill_Glengower,Scoria_cone,-37.2617,143.8815,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,,,,90,10800,518,FALSE,13.00716973,23.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Kellys_Hill_Korweinguboora,Lava_shield,-37.4309,144.1278,,,K-Rich Hawaiite,,34,10800,518,FALSE,13.2788363,23.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Kidds_Hill,Magmatic_Volcanic_Complex,-37.2902,144.2706,,,Transitional basalt,,30,10800,518,FALSE,8.474722414,14.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Lady_Franklin,Scoria_cone,-37.2946,144.1394,,,Tholeiite to mildly alkalic olivine basalt,,40,10800,518,FALSE,16.01347905,28.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Lady_Mount,Scoria_cone,-37.4224,143.6468,,,,,77,10800,518,FALSE,18.46931941,33.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Lake_Burrumbeet_Callender_Bay,Maar_Cone_Volcanic_Complex,-37.4848,143.6332,,,K-Rich Hawaiite,,80,10800,518,FALSE,12.24336364,21.7,TRUE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Lane_Hill,Scoria_cone,-37.2235,143.816,,,,,33,10800,518,FALSE,7.744710546,13.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Langdon_Hill,Lava_shield,-37.4184,144.0603,,,K-Rich Hawaiite,,55,10800,518,FALSE,19.13677418,34.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Leishman_Complex,Magmatic_Volcanic_Complex,-37.2642,143.8328,,,K-Rich Hawaiite,,70,10800,518,FALSE,9.313598909,16.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Leonards_Hill,Lava_shield,-37.4233,144.1204,,,K-Rich Hawaiite,,55,10800,518,FALSE,11.19970602,19.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Liafall,Lava_shield,-37.311,144.9347,,4.68 +- 0.06,Tholeiite,,35,10800,518,FALSE,7.35056137,12.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Little_Bullengarook,Scoria_cone,-37.505,144.5159,AKA Haires Hill,,Hawaiite,,38.4,10800,518,FALSE,18.41775837,33.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Little_Hill_Lawrence,Scoria_cone,-37.3205,143.9152,AKA Woodhouse Hill,2.16,,,45,10800,518,FALSE,10.86852534,19.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Madden_Hill,Magmatic_Volcanic_Complex,-37.4892,144.0037,,,"Hawaiite, transitional basalt",,41,10800,518,FALSE,13.71223686,24.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Magnet_Hill,Lava_shield,-37.4729,144.5992,,,Olivine tholeiite,,36,10800,518,FALSE,16.90927181,30.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Maiden_Hill,Scoria_cone,-37.2893,143.6145,,,,,91,10800,518,FALSE,18.93196825,34.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,McIvor_Hill,Scoria_cone,-37.241,143.8657,,2.85 +- 0.04,K-Rich Hawaiite,,60,10800,518,FALSE,12.07910463,21.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,McLean_Hill,Scoria_cone,-37.4345,143.7506,,,,,54,10800,518,FALSE,13.44154572,23.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Melbourne_Hill,Lava_shield,-37.2997,144.7445,,4.31,Tholeiite,,66,10800,518,FALSE,11.91464383,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Merin_Hill,Scoria_cone,-37.2111,143.8114,,,,,52,10800,518,FALSE,9.59234969,16.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
