SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE
WP,Mt_Cottrell,Lava_shield,-37.7628,144.6226
WP,Mt_Deception,Lava_shield,-38.0888,141.4436
WP,Mt_Duneed,Lava_shield,-38.2406,144.3154
WP,Mt_Eccles,Magmatic_Volcanic_Complex,-38.0612,141.9224
WP,Mt_Eckersley,Lava_shield,-38.0893,141.6384
WP,Mt_Elephant,Scoria_cone,-37.9609,143.198
WP,Mt_Fyans,Scoria_cone,-37.8631,142.9762
WP,Mt_Gellibrand,Scoria_cone,-38.2339,143.7911
WP,Mt_Hamilton,Lava_shield,-37.7849,142.9864
WP,Mt_Hesse,Scoria_cone,-38.1606,143.8372
WP,Mt_Kincaid,Lava_shield,-38.1817,141.3688
WP,Mt_Koang,Scoria_cone,-38.0781,143.1128
WP,Mt_Kororoit,Magmatic_Volcanic_Complex,-37.6531,144.6604
WP,Mt_Kurtweeton,Magmatic_Volcanic_Complex,-38.0862,143.1403
WP,Mt_Lawaluk,Lava_shield,-37.8341,143.8851
WP,Mt_Leura,Maar_Cone_Volcanic_Complex,-38.2511,143.1552
WP,Mt_Meningorot,Scoria_cone,-38.1337,143.0669
WP,Mt_Mercer,Scoria_cone,-37.8167,143.8633
WP,Mt_Moriac,Lava_shield,-38.1991,144.1667
WP,Mt_Myrtoon,Scoria_cone,-38.1527,143.242
WP,Mt_Napier,Magmatic_Volcanic_Complex,-37.8908,142.0543
WP,Mt_Noorat,Maar_Cone_Volcanic_Complex,-38.1757,142.9337
WP,Mt_Piccaniny,Lava_shield,-38.1511,141.3693
WP,Mt_Pierrepoint,Lava_shield,-37.7727,142.0584
WP,Mt_Pleasant,Lava_shield,-38.2369,143.8471
WP,Mt_Pollock,Lava_shield,-38.171,144.0758
WP,Mt_Porndon,Maar_Cone_Volcanic_Complex,-38.3129,143.2843
WP,Mt_Rebecca,Lava_shield,-38.0351,143.7121
WP,Mt_Richmond,Lava_shield,-38.26666667,141.4166667
WP,Mt_Rouse,Magmatic_Volcanic_Complex,-37.8853,142.3029
WP,Mt_Shadwell,Magmatic_Volcanic_Complex,-38.0549,142.8088
WP,Mt_Taurus,Lava_shield,-38.242,142.4174
WP,Mt_Vandyke,Lava_shield,-38.066,141.4156
WP,Mt_Vite_Vite,Lava_shield,-37.8258,143.1934
WP,Mt_Warrnambool,Maar_Cone_Volcanic_Complex,-38.3072,142.7365
WP,Mt_Weejort,Lava_shield,-37.5491,143.0884
WP,Mt_Widderin,Lava_shield,-37.7474,143.3527
WP,Mt_Wiridgil,Maar_Cone_Volcanic_Complex,-38.2283,143.216
WP,One_Tree_Hill,Lava_shield,-37.8335,144.4943
WP,Pejark_Marsh,Maar,-38.219,142.9331
WP,Picaninny_Hill,Lava_shield,-37.8346,142.2759
WP,Quarry_Hill,Scoria_cone,-38.3282,143.6318
WP,Red_Hill,Lava_shield,-38.0451,141.4345
WP,Red_Rock_Alvie,Maar_Cone_Volcanic_Complex,-38.2546,143.5027
WP,Ripponhurst,Lava_shield,-38.0116,142.1135
WP,Ritchie_Hill,Lava_shield,-37.6174,143.1137
WP,Robertson_Hill_Colac,Scoria_cone,-38.3199,143.5152
WP,Round_Hill_StAlbans,Lava_shield,-37.73,144.7903
WP,Ryans_Hill_Sunbury,Lava_shield,-37.6468,144.7124
WP,Satchell_Hill,Lava_shield,-37.9853,141.7365
WP,Sheepwash_Hill,Lava_shield,-37.6224,142.4336
WP,Sheoak_Hill,Scoria_cone,-37.6201,144.6428
WP,Sheoak_Rise,Unknown,-38.0017,141.6314
WP,Spring_Hill_Balliang_East,Lava_shield,-37.775,144.4768
WP,Staughton_Hill_Complex,Maar_Cone_Volcanic_Complex,-38.3141,142.9152
WP,Stockyard_Hill,Scoria_cone,-37.5611,143.3248
WP,Stony_Hill,Lava_shield,-37.6692,144.7211
WP,Sugarloaf_Hill_Heywood,Scoria_cone,-38.0915,141.609
WP,Sunbury_Hill,Scoria_cone,-37.5973,144.7291
WP,The_Basins,Maar_Volcanic_Complex,-38.3261,143.4507
WP,The_Cap,Scoria_cone,-38.2164,143.9104
WP,The_Sisters_Terang,Maar_Cone_Volcanic_Complex,-38.1868,142.7952
WP,Tower_Hill,Maar_Cone_Volcanic_Complex,-38.3172,142.3604
WP,Unnamed_BF1,Scoria_cone,-37.4848,143.3872
WP,Unnamed_BF2,Lava_shield,-37.4766,143.1767
WP,Unnamed_BM2,Unknown,-37.7478,144.469
WP,Unnamed_CC1,Lava_shield,-38.3259,143.7317
WP,Unnamed_CT1,Scoria_cone,-38.2658,143.1762
WP,Unnamed_MB6,Unknown,-37.6313,144.7295
WP,Mt_Boomerang,Maar_Cone_Volcanic_Complex,-38.318,142.676
WP,Unnamed_SN1,Scoria_cone,-37.9438,143.2392
WP,Mt_Carranballac,Lava_shield,-37.7608,143.2205
WP,Unnamed_WA1,Lava_shield,-37.9794,142.7926
WP,Unnamed_WA2,Lava_shield,-37.8682,142.8573
WP,Vaughan_Island,Scoria_cone,-38.2787,143.4144
