,Volcanic Centre Name,Latitude,Longitude,Hazard Score (raw),Hazard (%),Hazard contrib (%),Exposure Score (raw),Exposure (%),Exposure contrib (%),Vulnerability (raw),Vulnerability (%),Vulnerability contrib (%),Data completeness (raw),Data gap (%),Data gap contrib (%),Final score (0–1),Final score (%)
34,Fairbanks Hill,-37.6082,144.8638,3.215712653985,16.078563269925,1.6078563269925,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,2.0,83.33333333333334,12.5,0.635613850104783,63.5613850104783
35,Fawcett_Hill,-37.1922,143.8361,1.730752633585,8.653763167925002,0.8653763167925,5,0.0,0.0,103.57173110349244,100.0,40.0,3.0,75.0,11.249999999999998,0.521153763167925,52.115376316792506
36,Fenton_Hill_Sunbury,-37.499,144.8055,2.256200025385,11.281000126925,1.1281000126925,2,75.0,26.249999999999996,16.37955701033845,15.814698504914851,6.325879401965941,6.0,50.0,7.5,0.41203979414658437,41.203979414658434
37,Fenton_Hill_Waubra,-37.3478,143.7377,1.730752633585,8.653763167925002,0.8653763167925,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.43598434972553224,43.59843497255322
38,Fern_Hill,-37.3238,144.16779,0.6798578499850001,3.3992892499250007,0.33992892499250005,1,100.0,35.0,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.5729530172143065,57.29530172143065
39,Fitzgerald_Hill,-37.5337,144.6662,3.866810509185,19.334052545925,1.9334052545925005,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,5.0,58.33333333333333,8.749999999999998,0.601369339380783,60.13693393807829
40,Foran_Hill,-37.3865,143.6246,2.907297880585,14.536489402924998,1.4536489402925,5,0.0,0.0,64.16918901091714,61.95627738112929,24.782510952451716,2.0,83.33333333333334,12.5,0.38736159892744215,38.73615989274421
41,Forest_Hill,-37.3939,143.9631,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.4215902173673064,42.15902173673064
42,Fraser_Hill,-37.3949,143.6966,2.256200025385,11.281000126925,1.1281000126925,5,0.0,0.0,29.733006583502032,28.70764663940182,11.483058655760727,2.0,83.33333333333334,12.5,0.25111158668453226,25.111158668453225
43,GEOVIC_0,-37.3863,143.6373,1.730752633585,8.653763167925002,0.8653763167925,5,0.0,0.0,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.26098434972553225,26.098434972553225
44,GEOVIC_116,-37.2591,144.2063,2.907297880585,14.536489402924998,1.4536489402925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5090902173673064,50.909021736730644
45,GEOVIC_118,-37.2903,144.2423,3.215712653985,16.078563269925,1.6078563269925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5106322912343064,51.063229123430645
46,GEOVIC_119,-37.3452,144.0266,2.1648178703850003,10.824089351925,1.0824089351925001,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5053778173163064,50.53778173163064
47,GEOVIC_137,-37.3378,143.7405,1.730752633585,8.653763167925002,0.8653763167925,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.3484843497255322,34.84843497255322
48,GEOVIC_147,-37.4475,144.1772,2.1648178703850003,10.824089351925,1.0824089351925001,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,3.0,75.0,11.249999999999998,0.47066778027579664,47.066778027579666
49,GEOVIC_149,-37.3638,144.1996,2.1648178703850003,10.824089351925,1.0824089351925001,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5053778173163064,50.53778173163064
50,GEOVIC_291,-37.388,144.8173,0.6798578499850001,3.3992892499250007,0.33992892499250005,2,75.0,26.249999999999996,16.37955701033845,15.814698504914851,6.325879401965941,1.0,91.66666666666666,13.749999999999998,0.46665808326958436,46.665808326958434
51,GEOVIC_308,-37.5748,143.9863,0.6798578499850001,3.3992892499250007,0.33992892499250005,3,50.0,17.5,21.96851985548765,21.210922730967923,8.484369092387169,3.0,75.0,11.249999999999998,0.37574298017379665,37.57429801737967
52,GEOVIC_315,-37.5434,143.8081,0.6798578499850001,3.3992892499250007,0.33992892499250005,2,75.0,26.249999999999996,29.733006583502032,28.70764663940182,11.483058655760727,5.0,58.33333333333333,8.749999999999998,0.4682298758075322,46.82298758075322
53,GEOVIC_328,-37.5943,143.6505,0.6798578499850001,3.3992892499250007,0.33992892499250005,3,50.0,17.5,64.16918901091714,61.95627738112929,24.782510952451716,2.0,83.33333333333334,12.5,0.5512243987744422,55.122439877444215
54,GEOVIC_359,-37.5463,144.6758,3.215712653985,16.078563269925,1.6078563269925,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,2.0,83.33333333333334,12.5,0.635613850104783,63.5613850104783
55,GEOVIC_362,-37.5204,144.68985,2.1648178703850003,10.824089351925,1.0824089351925001,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,2.0,83.33333333333334,12.5,0.630359376186783,63.0359376186783
56,GEOVIC_394,-37.5951,143.9943,1.730752633585,8.653763167925002,0.8653763167925,3,50.0,17.5,21.96851985548765,21.210922730967923,8.484369092387169,5.0,58.33333333333333,8.749999999999998,0.3559974540917966,35.59974540917966
