Volcanic Centre Name,LAT_CENTRE,LON_CENTRE,Area_0_5_km2,Avg_Density_0_5,Ranking_0_5,Area_5_10_km2,Avg_Density_5_10,Ranking_5_10,Area_10_25_km2,Avg_Density_10_25,Ranking_10_25,Area_25_50_km2,Avg_Density_25_50,Ranking_25_50,Area_50_100_km2,Avg_Density_50_100,Ranking_50_100,Exposure_Pareto_Front
GEOVIC_308,-37.5748,143.9863,78.0,12.147448,4,233.0,67.85566,4,1645.0,74.691315,3,5882.0,10.080025,2,22063.0,151.26979,2,3
GEOVIC_315,-37.5434,143.8081,77.0,728.1153,5,235.0,239.12404,4,1647.0,15.880023,3,5872.0,5.1038213,2,23082.0,74.81657,2,2
GEOVIC_328,-37.5943,143.6505,79.0,15.497992,4,236.0,20.895454,4,1650.0,76.18282,3,5880.0,3.9953687,2,23330.0,41.398483,2,3
GEOVIC_359,-37.5463,144.6758,80.0,267.05014,5,235.0,167.77956,4,1646.0,315.43515,3,5664.0,451.02756,3,21186.0,136.61415,2,1
GEOVIC_362,-37.5204,144.68985,75.0,61.219337,5,238.0,226.42932,4,1642.0,273.53275,3,5726.0,443.85287,3,21291.0,139.83578,2,1
GEOVIC_394,-37.5951,143.9943,78.0,9.378422,4,236.0,44.67123,4,1646.0,77.285484,3,5882.0,12.098509,2,21825.0,158.43068,2,3
GEOVIC_396,-37.5254,143.9682,80.0,25.118906,4,235.0,101.533745,4,1646.0,69.20786,3,5884.0,9.81724,2,22553.0,135.0149,2,3
GEOVIC_40,-37.3913,144.1978,80.0,4.2120757,4,233.0,20.511913,4,1643.0,9.269943,3,5886.0,55.77563,3,22559.0,172.94826,2,2
GEOVIC_41,-37.4292,144.217,78.0,2.569244,4,235.0,7.681986,4,1650.0,11.427313,3,5883.0,63.102848,3,22303.0,185.08818,2,2
GEOVIC_416,-37.704,144.07752,76.0,4.4646926,4,237.0,6.7988324,4,1642.0,33.47423,3,5874.0,54.06979,3,20286.0,200.17987,2,2
GEOVIC_432,-37.3523,143.9704,80.0,7.341245,4,235.0,10.600818,4,1645.0,33.72756,3,5884.0,25.366966,2,23176.0,91.56438,2,3
GEOVIC_44,-37.2581,144.0345,80.0,1.5667835,4,237.0,3.2457044,3,1639.0,11.692524,3,5883.0,32.335495,3,23433.0,85.68466,2,3
GEOVIC_446,-37.2781,143.8814,79.0,0.9188659,4,235.0,6.6542106,4,1645.0,9.812276,3,5885.0,30.952768,3,23520.0,49.367783,2,2
GEOVIC_460,-37.3996,143.6597,76.0,3.8632195,4,232.0,4.035648,4,1651.0,47.978497,3,5879.0,15.498551,2,23514.0,23.274204,1,4
GEOVIC_470,-37.3313,143.6837,76.0,1.8690615,4,233.0,6.764561,4,1645.0,12.427774,3,5882.0,25.54942,2,23524.0,19.900393,1,4
GEOVIC_471,-37.3341,143.6752,78.0,3.5719154,4,234.0,3.348691,3,1650.0,11.45549,3,5879.0,25.843832,2,23514.0,19.712057,1,5
GEOVIC_475,-37.3691,143.6047,79.0,4.1783724,4,236.0,1.5519311,3,1644.0,11.1292095,3,5885.0,25.289938,2,23524.0,16.03952,1,5
GEOVIC_513,-37.2364,144.5545,79.0,4.0411706,4,237.0,30.37282,4,1645.0,17.359488,3,5881.0,48.54911,3,22602.0,199.37872,2,2
GEOVIC_514,-37.1367,144.513,80.0,1.8622748,4,236.0,4.5999613,4,1644.0,13.163956,3,5884.0,30.385649,3,23195.0,166.62817,2,2
GEOVIC_517,-37.1848,144.6625,78.0,4.153368,4,236.0,2.9294562,3,1647.0,17.330297,3,5879.0,41.944946,3,22839.0,197.68054,2,3
GEOVIC_53,-37.2877,144.2376,79.0,10.721794,4,237.0,13.424841,4,1655.0,17.91828,3,5875.0,34.073643,3,22805.0,159.06651,2,2
GEOVIC_55,-37.2982,144.1478,80.0,33.39792,5,235.0,13.889774,4,1640.0,8.287191,3,5884.0,39.28511,3,22923.0,135.87172,2,1
GEOVIC_563,-37.1357,144.6265,78.0,0.8467815,4,235.0,1.6624436,3,1649.0,12.87321,3,5880.0,30.982244,3,23111.0,185.15948,2,3
GEOVIC_564,-37.2311,144.8286,79.0,3.828485,4,235.0,8.809151,4,1654.0,26.438742,3,5877.0,80.68061,3,22526.0,203.10013,2,2
GEOVIC_565,-37.5186,144.1373,77.0,4.460433,4,234.0,9.558659,4,1648.0,28.859655,3,5878.0,49.514027,3,21891.0,186.61136,2,2
GEOVIC_58,-37.3425,144.0322,79.0,4.989289,4,235.0,13.763998,4,1649.0,10.378079,3,5877.0,34.145786,3,23031.0,115.10018,2,2
GEOVIC_605,-37.2729,144.8607,78.0,6.817422,4,233.0,40.913994,4,1645.0,29.443419,3,5883.0,135.08798,3,22300.0,200.94196,2,2
GEOVIC_69,-37.1111,144.4073,80.0,3.5220642,4,236.0,10.283206,4,1652.0,16.286459,3,5887.0,30.248049,3,23388.0,135.41377,2,2
GEOVIC_73,-37.4165,144.4593,79.0,5.7416034,4,237.0,31.967854,4,1643.0,25.554464,3,5882.0,130.46808,3,21847.0,207.37971,2,2
GEOVIC_74,-37.3434,144.3822,78.0,9.129582,4,234.0,11.001928,4,1649.0,22.154371,3,5882.0,47.05958,3,22378.0,206.22195,2,2
Golf_Course_Hill,-37.3475,144.5292,80.0,84.847855,5,236.0,21.835066,4,1644.0,26.698942,3,5883.0,113.34633,3,22149.0,203.69542,2,1
Gooches_Hill,-37.3082,144.2207,79.0,14.637748,4,236.0,20.802599,4,1645.0,12.219637,3,5881.0,40.889847,3,22761.0,160.52821,2,2
Gordon_Hill,-37.2797,143.6368,81.0,2.2683074,4,237.0,2.1364448,3,1648.0,4.010365,3,5882.0,27.387695,2,23526.0,15.976689,1,5
Green_Hill_Buninyong,-37.6284,143.9012,78.0,149.8613,5,235.0,246.11526,4,1650.0,41.792297,3,5881.0,9.699449,2,22016.0,119.44601,2,2
Green_Hill_Metcalfe,-37.1513,144.4329,78.0,3.5992384,4,236.0,16.70156,4,1648.0,17.959284,3,5878.0,27.989872,2,23200.0,154.66739,2,3
Green_Hill_Newlyn,-37.3957,144.0213,80.0,7.0289445,4,235.0,7.7173386,4,1646.0,44.430485,3,5884.0,27.733353,2,22914.0,125.31039,2,3
Green_Hill_Pootilla,-37.515,143.9677,78.0,11.972251,4,237.0,85.17612,4,1645.0,72.46511,3,5882.0,9.785555,2,22623.0,132.8338,2,3
Green_Hill_Snake_Valley,-37.6042,143.6028,76.0,14.51652,4,236.0,14.164659,4,1646.0,66.96349,3,5874.0,6.6910725,2,23382.0,32.174034,2,3
Green_Hill_Wallan,-37.4232,144.9843,77.0,226.52513,5,233.0,48.22687,4,1652.0,186.99686,3,5864.0,449.1164,3,21666.0,126.06638,2,1
Green_Hills_Greendale,-37.5006,144.2907,76.0,11.162959,4,233.0,4.609773,4,1647.0,26.463655,3,5884.0,92.9336,3,21534.0,211.2821,2,2
Grenville_Hill,-37.6781,143.8772,79.0,64.43889,5,239.0,68.96314,4,1646.0,69.22976,3,5878.0,10.393585,2,21707.0,110.87305,2,2
Happy_Valley,-37.7104,143.5616,79.0,8.30929,4,238.0,5.2543597,4,1650.0,7.768383,3,5879.0,23.027685,2,23178.0,30.877958,2,3
Hardie_Hill,-37.7414,143.8799,80.0,5.9142294,4,235.0,14.990285,4,1643.0,74.63431,3,5887.0,10.680258,2,21031.0,119.60588,2,3
Hayes_Hill,-37.5391,145.0047,78.0,181.82074,5,235.0,547.5857,4,1648.0,531.2399,3,5667.0,561.81244,3,21286.0,75.40895,2,1
Heaghney_Hill,-37.23,144.0085,77.0,1.365585,4,235.0,2.085433,3,1649.0,12.253765,3,5882.0,32.074364,3,23519.0,69.58508,2,3
Hepburn_Lagoon,-37.3718,143.9969,80.0,8.348318,4,236.0,7.0867844,4,1645.0,38.864838,3,5883.0,25.815702,2,23030.0,110.514984,2,3
Holcombe_Hill,-37.2787,144.1992,79.0,8.223191,4,236.0,20.1117,4,1646.0,17.545742,3,5883.0,37.902332,3,22891.0,143.38655,2,2
Hopwoods_Hill,-37.6098,144.0983,78.0,25.411898,4,235.0,4.821167,4,1649.0,51.4272,3,5883.0,40.661896,3,21188.0,194.2037,2,2
Kangaroo_Hill_Denver,-37.2699,144.309,78.0,7.0648303,4,235.0,6.7349887,4,1646.0,23.527092,3,5879.0,26.553469,2,22748.0,171.61646,2,3
Kangaroo_Hills_Kingston,-37.3538,144.0073,79.0,5.6510143,4,237.0,6.6498694,4,1642.0,23.79858,3,5883.0,29.555481,2,23070.0,109.98108,2,3
Kelly_Hill_Glengower,-37.2617,143.8815,79.0,0.7402442,4,236.0,6.085581,4,1645.0,8.540675,3,5883.0,31.260874,3,23534.0,46.04064,2,2
Kellys_Hill_Korweinguboora,-37.4309,144.1278,81.0,4.6268377,4,235.0,10.844834,4,1648.0,16.45384,3,5880.0,48.36992,3,22562.0,165.92607,2,2
Kidds_Hill,-37.2902,144.2706,80.0,9.152735,4,233.0,6.830534,4,1644.0,19.524818,3,5886.0,35.153812,3,22739.0,167.73915,2,2
Lady_Franklin,-37.2946,144.1394,80.0,31.909998,5,236.0,14.227506,4,1644.0,8.366882,3,5884.0,38.842373,3,22967.0,132.79126,2,1
Lady_Mount,-37.4224,143.6468,79.0,2.7316136,4,236.0,4.341412,4,1644.0,56.560947,3,5883.0,12.97909,2,23518.0,23.823433,1,4
Lake_Burrumbeet_Callender_Bay,-37.4848,143.6332,76.0,3.011416,4,234.0,6.6996193,4,1650.0,73.69381,3,5874.0,7.262908,2,23475.0,28.884403,1,4
Lane_Hill,-37.2235,143.816,78.0,1.4905854,4,233.0,8.450994,4,1651.0,10.851492,3,5880.0,28.785496,2,23528.0,22.677692,1,4
Langdon_Hill,-37.4184,144.0603,78.0,3.4155915,4,234.0,8.390112,4,1654.0,42.22832,3,5876.0,30.193518,3,22774.0,141.55043,2,2
Leishman_Complex,-37.2642,143.8328,80.0,4.6897087,4,235.0,6.9868827,4,1643.0,8.779806,3,5882.0,30.010567,3,23524.0,33.43756,2,2
Leonards_Hill,-37.4233,144.1204,80.0,5.61607,4,236.0,15.774248,4,1644.0,15.79905,3,5883.0,45.235664,3,22623.0,162.56322,2,2
Liafall,-37.311,144.9347,77.0,126.84438,5,236.0,14.946293,4,1648.0,38.991528,3,5877.0,215.42474,3,22161.0,188.51053,2,1
Little_Bullengarook,-37.505,144.5159,78.0,9.024119,4,234.0,63.442833,4,1651.0,110.17461,3,5877.0,276.94647,3,21237.0,190.37852,2,2
Little_Hill_Lawrence,-37.3205,143.9152,81.0,2.9657888,4,236.0,5.8130455,4,1648.0,21.432716,3,5884.0,28.45341,2,23436.0,66.976326,2,3
Madden_Hill,-37.4892,144.0037,79.0,5.4613333,4,237.0,12.606262,4,1646.0,83.08737,3,5883.0,13.207102,2,22637.0,140.67818,2,3
Magnet_Hill,-37.4729,144.5992,77.0,175.3622,5,234.0,41.328407,4,1646.0,77.78233,3,5881.0,362.27377,3,21410.0,169.00063,2,1
Maiden_Hill,-37.2893,143.6145,80.0,1.7551931,4,234.0,2.979404,3,1651.0,3.8960247,3,5879.0,27.155489,2,23541.0,15.379184,1,5
McIvor_Hill,-37.241,143.8657,78.0,0.4620059,4,233.0,6.878929,4,1650.0,10.865648,3,5877.0,29.639242,2,23516.0,37.080784,2,3
McLean_Hill,-37.4345,143.7506,79.0,6.201448,4,234.0,25.128428,4,1645.0,75.377884,3,5882.0,8.037578,2,23418.0,47.16761,2,3
Melbourne_Hill,-37.2997,144.7445,80.0,50.910637,5,235.0,23.91068,4,1645.0,30.31825,3,5884.0,167.42874,3,22180.0,195.02516,2,1
Merin_Hill,-37.2111,143.8114,79.0,0.51700175,4,237.0,7.6621284,4,1655.0,10.416377,3,5877.0,28.69052,2,23527.0,20.887339,1,4
Molonghip_Hill,-37.4844,144.0377,79.0,4.1997905,4,237.0,7.2415457,4,1645.0,83.00547,3,5880.0,17.946077,2,22547.0,150.54272,2,3
MONVOLC_2,-37.2395,144.4372,78.0,91.86973,5,233.0,12.040309,4,1651.0,12.367838,3,5878.0,34.64563,3,22697.0,187.10565,2,1
Morton_Hill,-37.4237,143.7519,79.0,6.292219,4,234.0,17.11868,4,1647.0,75.08266,3,5878.0,8.444444,2,23434.0,46.029846,2,3
Mossops_Hill,-37.4056,144.1966,78.0,2.9603276,4,235.0,18.97777,4,1647.0,9.611782,3,5883.0,57.84801,3,22493.0,176.33704,2,2
Mt_Aitken,-37.5465,144.6424,79.0,25.87897,4,235.0,221.837,4,1651.0,252.2162,3,5683.0,439.0228,3,21177.0,144.5974,2,2
Mt_Beckworth,-37.309,143.6738,78.0,0.92613494,4,235.0,7.4418797,4,1646.0,8.266716,3,5883.0,26.626564,2,23522.0,18.46019,1,4
Mt_Blackwood,-37.5572,144.3604,79.0,6.9515023,4,237.0,7.1693096,4,1643.0,70.2913,3,5881.0,172.4976,3,20986.0,212.08896,2,2
Mt_Blowhard,-37.4529,143.8,74.0,24.515368,4,238.0,80.16996,4,1642.0,69.96461,3,5870.0,7.6053476,2,23299.0,60.68013,2,3
Mt_Bullengarook,-37.5099,144.4931,78.0,7.1998825,4,235.0,36.14742,4,1649.0,113.30459,3,5879.0,255.79636,3,21216.0,194.73949,2,2
Mt_Buninyong,-37.6532,143.9238,75.0,66.21473,5,235.0,90.72268,4,1638.0,66.89225,3,5876.0,11.161726,2,21663.0,132.43643,2,2
Mt_Cameron,-37.2008,143.8146,78.0,0.54121244,4,234.0,4.1616926,4,1647.0,10.4108515,3,5883.0,28.343412,2,23515.0,20.587986,1,4
Mt_Cavern,-37.4104,143.7851,79.0,2.8091385,4,235.0,26.864853,4,1648.0,73.378426,3,5879.0,9.06136,2,23402.0,49.85305,2,3
Mt_Consultation,-37.0983,144.1686,79.0,65.3173,5,234.0,36.47764,4,1645.0,7.348594,3,5888.0,27.96437,2,23521.0,71.426674,2,2
Mt_Darriwill,-37.631,144.2764,78.0,15.1949835,4,238.0,14.740213,4,1649.0,28.20049,3,5880.0,156.89362,3,20507.0,220.63971,2,2
Mt_Duntulm,-37.2062,143.8556,79.0,0.3455404,4,235.0,1.7136071,3,1651.0,12.022216,3,5879.0,28.701666,2,23536.0,26.074488,1,5
Mt_Franklin,-37.2647,144.1498,77.0,8.062908,4,234.0,19.692385,4,1651.0,14.089663,3,5878.0,34.782913,3,23077.0,125.91023,2,2
Mt_Fraser,-37.4616,144.9783,78.0,155.71008,5,234.0,132.78311,4,1650.0,275.324,3,5815.0,509.4736,3,21512.0,107.9927,2,1
Mt_Gap,-37.3346,143.6927,78.0,1.4527212,4,234.0,8.86793,4,1651.0,15.939378,3,5877.0,24.621344,2,23521.0,20.740337,1,4
Mt_Gisborne,-37.5212,144.5904,78.0,140.44524,5,237.0,28.17998,4,1644.0,155.91193,3,5812.0,388.6598,3,21230.0,162.85193,2,1
Mt_Glasgow,-37.2102,143.7532,79.0,3.6242843,4,233.0,7.5566916,4,1647.0,8.921011,3,5883.0,27.879797,2,23524.0,18.390045,1,4
Mt_Gorong,-37.6081,144.2493,79.0,42.883953,5,235.0,5.617603,4,1648.0,20.95178,3,5879.0,133.82472,3,20706.0,216.14484,2,1
Mt_Greenock,-37.201,143.7251,76.0,8.596545,4,233.0,3.9578223,4,1643.0,8.760524,3,5884.0,27.19735,2,23526.0,17.386484,1,4
Mt_Holden,-37.5645,144.6925,78.0,451.3918,5,234.0,75.23662,4,1648.0,386.3512,3,5585.0,477.38416,3,21112.0,125.927864,2,1
Mt_Hollowback,-37.4408,143.8187,77.0,18.638016,4,234.0,60.904087,4,1649.0,72.148796,3,5879.0,7.906307,2,23284.0,64.24131,2,3
Mt_Hydewell,-37.6235,144.2252,78.0,41.375202,5,233.0,4.1025987,4,1646.0,20.481354,3,5883.0,122.21928,3,20610.0,217.0017,2,1
Mt_Kooroocheang,-37.297,143.9843,76.0,1.7480574,4,234.0,3.5207136,3,1646.0,10.048985,3,5886.0,32.597324,3,23369.0,81.24301,2,3
Mt_Mitchell,-37.2847,143.5838,79.0,0.89896053,4,236.0,3.1217744,3,1645.0,4.9447293,3,5886.0,26.291086,2,23529.0,14.398768,1,5
Mt_Moolort,-37.0474,143.8604,79.0,12.500466,4,235.0,7.659292,4,1645.0,8.874375,3,5881.0,17.051455,2,23524.0,19.654646,1,4
Mt_Moorookyle,-37.2947,143.9403,78.0,2.1379402,4,235.0,2.9537325,3,1650.0,10.743967,3,5884.0,31.744644,3,23454.0,67.40874,2,3
Mt_Pisgah,-37.4626,143.818,80.0,50.183876,5,236.0,141.69786,4,1645.0,60.30126,3,5881.0,7.4128947,2,23240.0,67.4415,2,2
Mt_Prospect,-37.384,144.0576,79.0,6.263125,4,235.0,17.281675,4,1652.0,20.689451,3,5877.0,36.07482,3,22856.0,134.27602,2,2
Mt_Ridley,-37.5656,144.9333,77.0,1184.9657,5,235.0,492.98935,4,1648.0,750.0735,3,5549.0,516.8379,3,21147.0,75.24556,2,1
Mt_Rowan,-37.5,143.8381,79.0,284.3785,5,235.0,311.83627,4,1641.0,26.171108,3,5887.0,5.7360744,2,23099.0,79.88763,2,2
Mt_Steiglitz,-37.5648,144.2335,78.0,42.891415,5,233.0,6.8820643,4,1647.0,21.158394,3,5882.0,93.483315,3,21119.0,212.34737,2,1
Mt_Stewart,-37.2647,144.1498,77.0,8.062908,4,234.0,19.692385,4,1651.0,14.089663,3,5878.0,34.782913,3,23077.0,125.91023,2,2
Mt_Wallace,-37.7505,144.2133,79.0,1.676505,4,238.0,1.3735508,3,1641.0,22.565939,3,5687.0,167.55571,3,19739.0,223.4944,2,3
Mt_Warrenheip,-37.5751,143.9582,79.0,37.451313,5,236.0,182.75848,4,1645.0,57.53996,3,5884.0,9.490781,2,22203.0,139.06528,2,2
Muses_Hill,-37.3585,144.3049,78.0,20.331825,4,235.0,8.949565,4,1650.0,17.531603,3,5880.0,56.069344,3,22453.0,189.57713,2,2
ODonnell_Hill,-37.5705,144.0955,76.0,24.438406,4,234.0,6.321594,4,1646.0,57.83871,3,5885.0,38.43944,3,21595.0,187.01125,2,2
Pattens_Hill,-37.2182,144.3215,81.0,9.34656,4,234.0,9.721429,4,1645.0,23.19485,3,5883.0,22.262806,2,23004.0,156.57729,2,3
Poverty_Point,-37.5564,144.1002,79.0,21.890162,4,236.0,6.9385915,4,1644.0,58.80176,3,5880.0,38.316765,3,21718.0,185.59,2,2
Powlett_Hill,-37.26,143.9308,78.0,0.56052136,4,235.0,1.7358506,3,1647.0,9.843517,3,5882.0,31.932028,3,23519.0,57.585167,2,3
Pretty_Sally,-37.3804,144.9651,75.0,179.6017,5,238.0,58.254192,4,1638.0,91.57987,3,5874.0,368.29745,3,21898.0,150.28474,2,1
