SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes,Recurrence_score,Lahar_Score,PDC_Score,Tephra_Score,Tsunami_Score,Littoral_Score,Total_Hazard_Score
CH,Fraser_Hill,Scoria_cone,-37.3949,143.6966,,,K-Rich Hawaiite,,60.0,10800,518,False,11.30993247,20.0,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
CH,GEOVIC_0,Scoria_cone,-37.3863,143.6373,,,,,46.0,10800,518,False,10.86852534,19.2,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_116,Lava_shield,-37.2591,144.2063,,,"Nepheline-Hawaiite, K-rich Nepheline-hawaiite, alkali basalt",,66.0,10800,518,False,19.29004622,35.0,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,GEOVIC_118,Unknown,-37.2903,144.2423,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,20.0,10800,518,False,8.978510951,15.8,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,GEOVIC_119,Unknown,-37.3452,144.0266,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,25.0,10800,518,False,5.142764558,9.0,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_137,Unknown,-37.3378,143.7405,,,,,33.0,10800,518,False,8.75477299,15.4,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_147,Scoria_cone,-37.4475,144.1772,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,20.0,10800,518,False,8.025797031,14.1,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_149,Unknown,-37.3638,144.1996,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,33.0,10800,518,False,7.744710546,13.6,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_291,Lava_shield,-37.388,144.8173,,,Basalt,,31.0,10800,518,False,8.418662878,14.8,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_308,Lava_shield,-37.5748,143.9863,,,Alkaline olivine basalt,,24.0,10800,518,False,7.744710546,13.6,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_315,Lava_shield,-37.5434,143.8081,,2.56 +- 0.03,Tholeiite to mildly alkalic olivine basalt,,10.0,10800,518,False,2.633749234,4.6,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_328,Unknown,-37.5943,143.6505,,,Tholeiite to mildly alkalic olivine basalt,,12.0,10800,518,False,3.433630362,6.0,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_359,Lava_shield,-37.5463,144.6758,,,Olivine basalt to trachyandesite,,31.0,10800,518,False,10.20397372,18.0,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,GEOVIC_362,Lava_shield,-37.5204,144.68985,,,Olivine basalt to trachyandesite,,20.0,10800,518,False,8.025797031,14.1,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_394,Lava_shield,-37.5951,143.9943,,"4 ± 0.1, 3.97, 2.59",Tholeiite to mildly alkalic olivine basalt,,48.0,10800,518,False,13.49573328,24.0,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,GEOVIC_396,Lava_shield,-37.5254,143.9682,,,Tholeiite to mildly alkalic olivine basalt,,24.0,10800,518,False,5.142764558,9.0,False,False,False,False,False,7,True,False,False,0,False,4,0,0,3.5,0,0,0.6798578499850001
CH,GEOVIC_40,Unknown,-37.3913,144.1978,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,47.0,10800,518,False,11.96948637,21.2,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,GEOVIC_41,Unknown,-37.4292,144.217,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,19.0,10800,518,False,7.125016349,12.5,False,False,False,False,False,7,True,False,False,0,False,4,2,2,3.5,0,0,2.1648178703850003
CH,GEOVIC_416,Lava_shield,-37.704,144.07752,,,Olivine basalt,,20.0,10800,518,False,9.313598909,16.4,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
